name,lat,long,Population,Income,Gini,White %,Household size,Agriculture employ.,Conservation,SPEI_3YEARS
South San Francisco,37.653823,-122.411714,64630,34203,0.3992,40.53999691,3.074837052,0.370576246,0.08,-2.515306782
Stockton,37.958116,-121.29158,294406,20819,0.4577,44.63258222,3.257712566,3.857868943,0.2,-2.515306782
Visalia,36.327988,-119.295974,125502,24547,0.4419,80.26884034,3.056104807,5.140436575,0.32,-2.515306782
Westlake,34.147285,-118.808321,8320,48942,0.4715,88.38942308,2.510561255,0.446428571,0.36,-2.515306782
Willows,39.523893,-122.193886,6138,21143,0.4838,75.87161942,2.657142857,13.6196319,0.28,-2.515306782
Monterey,36.599049,-121.895309,27939,34380,0.4322,79.46240023,2.149980762,1.222455813,0.08,-2.515306782
Sacramento,38.580783,-121.499226,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,0.2,-2.515306782
Carlsbad,33.160309,-117.343683,107307,42563,0.4589,85.02613995,2.548738777,0.448673804,0.28,-2.515306782
Carmichael,38.619281,-121.335081,61659,29668,0.473,81.58419695,2.407238229,0.481007826,0.36,-2.515306782
Castaic Lake Water Agency Santa Clarita Water Division,34.414293,-118.509275,18415,44000,0.3564,72.03366821,3.21884286,0.285623612,0.32,-2.515306782
Citrus Heights,38.707231,-121.281376,84218,26574,0.3879,82.03590681,2.583929065,0.380878352,0.32,-2.515306782
Newman,37.316016,-121.020933,10401,19836,0.4101,84.86683973,3.502020202,5.848680936,0.24,-2.515306782
Coachella Valley,33.76765,-116.358963,41625,17222,0.392,41.53273273,4.505845421,10.67130249,0.36,-2.515306782
Crescenta Valley,34.247844,-118.258,20286,42434,0.4267,62.12658977,2.833635983,0,0.2,-2.515306782
Discovery Bay,37.911142,-121.599918,13030,50033,0.4035,86.60015349,2.747785744,1.738410596,0.32,-2.515306782
Dublin San Ramon,37.70654,-121.921571,47642,51072,0.3598,55.36291507,3.067739858,0.549141696,0.12,-2.515306782
El Dorado,38.682295,-120.841302,44206,51578,0.3846,82.40057911,3.023252633,0.281548517,0.28,-2.515306782
Elk Grove,38.415891,-121.372174,155350,35631,0.3825,45.31252012,3.259751978,0.536615705,0.28,-2.515306782
Elsinore Valley,33.680388,-117.339129,54260,25928,0.3733,59.40287505,3.764918124,1.01570144,0.28,-2.515306782
Fair Oaks,38.647938,-121.271047,31493,36117,0.4487,86.10167339,2.440939389,0.605030591,0.36,-2.515306782
Fallbrook,33.380068,-117.249158,30283,26577,0.4679,77.92821055,2.919969145,7.647710802,0.36,-2.515306782
Artesia,33.867394,-118.082676,16605,21451,0.3938,38.94610057,3.646245059,0.261064147,0.16,-2.515306782
Barstow,34.899746,-117.017653,22909,21745,0.4358,63.02326597,2.837730707,1.03682517,0.24,-2.515306782
Bay Point,38.033044,-121.962225,21582,20669,0.4269,52.45111667,3.384350008,0.766064487,0.12,-2.515306782
Bell,33.979594,-118.186548,35704,17104,0.3876,65.13275823,3.922654362,1.576543392,0.08,-2.515306782
Claremont,34.101325,-117.719248,35252,31009,0.4319,69.44286849,3.070999216,0.405719987,0.32,-2.515306782
Culver City,34.024392,-118.396665,39105,42947,0.4432,64.55696203,2.35501355,0.632697416,0.16,-2.515306782
Norwalk,33.905027,-118.080894,105940,23911,0.3763,50.46818954,3.912690205,0.45570064,0.12,-2.515306782
Orcutt,34.869948,-120.438076,30212,32008,0.3851,86.77015755,2.739571999,4.615625735,0.32,-2.515306782
Placentia,33.876947,-117.87089,51342,30174,0.4061,71.92162362,3.20247006,0.324108701,0.24,-2.515306782
San Dimas,34.114953,-117.808121,33582,35279,0.4255,69.19480674,2.885051546,0.224985938,0.28,-2.515306782
Simi Valley,34.275658,-118.779906,124803,36617,0.3958,76.55825581,2.984718037,0.606851447,0.24,-2.515306782
Groveland,37.842052,-120.230542,706,15991,0.391,95.89235127,2.255591054,0,0.24,-2.515306782
Hesperia,34.429742,-117.30021,90804,20932,0.4185,75.1596846,3.508248657,0.509721847,0.32,-2.515306782
Humboldt Bay,40.723046,-124.242663,2523,18408,0.5725,87.19778042,2.389204545,0,0.04,-2.515306782
Indian Wells Valley,35.703777,-117.686282,5040,40456,0.5854,89.30555556,1.851579721,0.665778961,0.36,-2.515306782
Joshua Basin,34.138034,-116.315883,7811,22969,0.4309,81.48764563,2.398955774,0,0.28,-2.515306782
Laguna Beach,33.549694,-117.781622,22980,52909,0.5413,90.83550914,2.082653616,0.202908353,0.24,-2.515306782
Lake Arrowhead,34.25544,-117.194181,10283,34524,0.3936,84.459788,2.698950131,1.705237515,0.16,-2.515306782
Lamont,35.265858,-118.915669,16239,16003,0.4079,79.64160355,4.673093525,46.05000767,0.28,-2.515306782
Livermore ,37.682064,-121.76669,82442,43082,0.3941,80.54874942,2.815642077,0.367296317,0.2,-2.515306782
Mammoth,37.651109,-119.036746,8180,24654,0.3404,84.35207824,3.043154762,2.86348054,0.2,-2.515306782
Marin,38.060113,-122.61658,2720,19409,0.5044,40.88235294,2.23316913,0,0.2,-2.515306782
Marina Coast,36.69937,-121.808226,19966,25244,0.4471,52.43914655,2.83527407,1.347510264,0.12,-2.515306782
McKinleyville,40.946532,-124.101758,16922,24513,0.4315,85.35043139,2.585485103,5.308447461,0.04,-2.515306782
Mesa,37.417926,-118.543917,425,46607,0.31,90.11764706,2.75974026,5.957446809,0.2,-2.515306782
Mission Springs,37.067227,-122.032419,3510,33582,0.4164,69.28774929,3.199635369,1.838476691,0.28,-2.515306782
Montebello,34.015433,-118.112669,62943,22796,0.4409,65.33689211,3.251188017,0.326170376,0.16,-2.515306782
Nipomo,35.04203,-120.476691,17256,26844,0.4167,83.32174316,3.028431028,4.567901235,0.28,-2.515306782
North Marin,38.128202,-122.769016,5879,43750,0.5548,75.13182514,2.312745869,0.246652572,0.24,-2.515306782
Oildale,35.420431,-119.020867,33222,18966,0.4496,85.69020529,2.707358813,10.01629363,0.36,-2.515306782
Olivehurst,39.095492,-121.554115,14191,18936,0.3568,62.96244098,3.335919135,6.890052356,0.36,-2.515306782
Orange Vale,38.677035,-121.216684,33832,31847,0.3976,88.18574131,2.644157874,0.203305352,0.36,-2.515306782
Palmdale,34.577999,-118.122036,153885,22915,0.4226,42.68902102,3.706286127,0.658436214,0.32,-2.515306782
Paradise,39.760544,-121.620524,248,27313,0.4014,87.90322581,2.455445545,2.962962963,0.36,-2.515306782
Placer,39.117885,-120.739624,10383,21119,0.4614,84.01232784,2.659579918,2.476329206,0.32,-2.515306782
Quartz Hill,34.645364,-118.217838,11088,26620,0.4517,81.2049062,2.975845411,1.112689394,0.36,-2.515306782
Rainbow,33.409749,-117.146466,1828,23626,0.4448,79.15754923,2.753012048,13.15789474,0.36,-2.515306782
Ramona,33.041607,-116.879811,22354,24158,0.4089,86.21275834,3.426425506,3.576465847,0.28,-2.515306782
Rosamond,34.866252,-118.162721,18700,27375,0.4083,68.09090909,3.143385443,0.49894958,0.28,-2.515306782
Rowland,33.977798,-117.905227,50263,25334,0.4524,23.29347631,3.472640597,0.22442814,0.2,-2.515306782
Sacramento,38.578636,-121.49236,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,0.32,-2.515306782
San Gabriel,34.096129,-118.105616,39953,23770,0.4362,22.03338923,3.238207165,0.880190535,0.2,-2.515306782
San Jose,37.334613,-121.877158,968903,32366,0.4434,45.93545484,3.15652936,0.387225488,0.2,-2.515306782
San Lorenzo Valley,37.079473,-122.073528,24057,29534,0.3562,53.09889014,3.196094061,0.106600338,0.12,-2.515306782
Santa Margarita,35.391217,-120.609468,1372,49601,0.4439,91.25364431,2.828865979,0,0.24,-2.515306782
Scotts Valley,37.050795,-122.013066,11618,41012,0.3976,86.02169048,2.74852141,0,0.16,-2.515306782
Soquel Creek,36.987256,-121.949604,10218,37033,0.4306,86.8565277,2.549401198,1.252408478,0.08,-2.515306782
South Tahoe,38.938074,-119.978858,172,18523,0.3769,75,2.422535211,0,0.2,-2.515306782
Tahoe City,39.143923,-120.172451,1712,35174,0.3381,92.93224299,2.473988439,1.776384535,0.2,-2.515306782
Truckee-Donner,39.328372,-120.181541,16132,29249,0.4589,92.44978924,2.560228535,1.138174368,0.28,-2.515306782
Tuolumne Utilities,37.962758,-120.241714,1867,18848,0.4652,87.30583824,2.296432964,5.069124424,0.24,-2.515306782
Twentynine Palms,34.138006,-116.058979,25462,24312,0.4149,73.78446312,3.219370338,0.444748546,0.28,-2.515306782
Valley Center,33.217492,-117.032692,10712,32115,0.3629,82.94436146,3.441053646,1.929325751,0.36,-2.515306782
Victorville,34.530597,-117.292085,117551,22154,0.417,60.00374306,3.737591809,1.050282263,0.28,-2.515306782
Adelanto,34.6093615,-117.6754371,31376,17110,0.427,57.48980112,4.213240231,0.733724653,0.2,-2.164464696
Alhambra,37.8012978,-122.4405747,83799,24899,0.4343,26.85234907,2.85428659,0.276542022,0.24,-1.947805643
American Canyon,34.4311491,-119.7177312,19656,33125,0.3837,44.56654457,3.513764748,0.663981713,0.2,-2.191422233
Anaheim,33.780285,-117.8927186,340081,25284,0.4339,62.63743049,3.433219593,0.369648801,0.2,-2.491475993
Anderson,37.7385568,-122.4152012,10025,17446,0.4157,86.08478803,2.55609383,2.794520548,0.36,-1.947648152
Antioch,38.0130582,-121.8700473,104035,27171,0.4103,51.06742923,3.229195766,0.428642332,0.28,-2.040757525
Arcadia,34.1358596,-118.0506039,56758,36899,0.4972,31.90034885,2.894782476,0.114107489,0.36,-2.365034907
Arcata,40.8807148,-124.0769691,17559,14014,0.4863,83.10268239,2.652416918,2.154195011,0.04,-1.629446636
Arroyo Grande,35.0952135,-120.5816419,17411,30069,0.4155,86.73252542,2.486930439,2.307969708,0.28,-2.646418124
Atwater,37.3442019,-120.599126,28423,20428,0.4746,69.50357105,3.269266161,7.594681708,0.36,-2.467515745
Azusa,34.1344168,-117.8791415,46843,19126,0.4215,43.88702688,3.940028598,1.088027013,0.2,-2.430121793
Bakersfield,35.3683434,-119.0060412,352918,24605,0.4458,65.51975246,3.210330022,10.30289646,0.36,-2.494305834
Banning,33.916774,-116.9814616,29968,21736,0.406,72.28043246,2.44776607,0.716960942,0.32,-2.072091137
Benicia,38.086214,-122.139308,27225,43553,0.4103,73.68962351,2.544630339,1.938013167,0.2,-1.875231267
Beverly Hills,37.720716,-122.471936,34341,48304,0.6215,83.5182435,2.364919771,0.04200168,0.32,-1.920734758
Blythe,33.6185324,-114.6024157,20405,14276,0.4548,62.67091399,4.023067823,6.021126761,0.32,-1.691342916
Brawley,36.8190113,-119.8625116,25191,19863,0.5003,82.12059863,3.33302461,10.01741149,0.32,-2.634647825
Brea,33.9314078,-117.9482718,39843,36997,0.3964,71.67883944,2.825544288,0.53841896,0.24,-2.492902989
Brentwood,37.7335874,-122.4590888,52494,39826,0.3813,75.62769078,3.179527559,1.561474872,0.32,-1.909407043
Buena Park,37.1505365,-122.1262019,81522,26122,0.3971,57.53293589,3.542432538,0.778816199,0.2,-2.114484897
Burbank,34.1549604,-118.3360151,103850,32612,0.4362,75.11892152,2.528855988,0.149265012,0.24,-2.415219341
Burbank,34.1549604,-118.3360151,5704,26532,0.4269,58.81837307,2.684235294,0,0.24,-2.415219341
Burlingame,37.5577356,-122.3174214,29237,48551,0.5051,68.9947669,2.396671858,0.231145159,0.16,-2.180858372
Calaveras,38.2611957,-120.3176838,6142,27932,0.3705,85.3956366,2.817431193,5.998356615,0.16,-2.369646108
Calexico,32.6886279,-115.5009205,38768,14479,0.4612,64.44232357,4.083851259,9.696969697,0.2,-2.036386216
California City,35.125801,-117.985904,13333,21094,0.4165,66.64666617,2.815839493,3.134432319,0.36,-2.142533561
Palos Verdes,33.7552981,-118.359861,13500,68885,0.5022,73.37037037,2.804320731,0,0.36,-2.612519273
Camarillo,34.2226853,-119.051646,65476,37774,0.4192,73.95076058,2.77440678,1.312676239,0.2,-2.517279735
Ceres,37.6314138,-121.0102313,46022,19722,0.4621,70.19903524,3.471524478,3.93608074,0.28,-2.208901194
Cerritos,34.127916,-117.3679017,49345,36365,0.392,23.15736143,3.273083046,0.146614537,0.28,-2.148205733
Chino,34.0557195,-117.65076,79342,27438,0.3968,60.55052809,3.783595613,0.583880094,0.24,-2.427716438
Chino Hills,33.9878942,-117.7148128,75551,40100,0.3816,54.67432595,3.321945214,0.261922951,0.28,-2.473560186
Big Bear Lake,34.2589679,-116.8550089,5080,20464,0.5186,81.77165354,2.34209313,0.996852046,0.16,-1.799823671
Clovis,36.8664951,-119.6151525,97100,29642,0.429,70.39855819,2.940909229,1.41056137,0.36,-2.481074327
Coalinga,36.1397061,-120.3655095,16609,24142,0.4477,62.50827864,3.498104465,12.22927862,0.32,-2.471736622
Colton,37.7726825,-122.4206911,52650,19630,0.4226,56.73694207,3.560319178,0.630717381,0.2,-1.940198357
Compton,32.801227,-116.965457,97040,17680,0.4136,35.68837593,4.1775367,0.710464247,0.08,-2.289564473
Corcoran,36.0981823,-119.5579022,24043,16613,0.4421,64.98773032,6.838168373,21.99261993,0.36,-2.430871369
Corona,37.7228459,-122.4671094,155227,31445,0.3973,69.80486642,3.496103604,0.52473981,0.28,-1.91941358
Crescent City,37.7350295,-122.4197788,7470,15940,0.4531,66.35876841,4.15461624,2.659574468,0.16,-1.941079853
Daly City,37.7507931,-122.4158477,102605,30523,0.3907,24.49393304,3.285883559,0.268807168,0.08,-1.946267803
Davis,37.7947692,-122.3978515,65770,22003,0.5129,64.11585829,2.757305161,0.887828162,0.28,-1.992634293
Delano,37.7273579,-122.4398919,52792,13989,0.4156,65.82815578,5.012533232,37.67565515,0.24,-1.918495788
Diablo,38.0024883,-121.7343597,1183,70990,0.5742,73.96449704,3.056847545,0,0.28,-2.108425617
Downey,37.765665,-122.446687,112334,26429,0.4062,59.92486691,3.432561266,0.351772392,0.2,-1.902179954
East Palo Alto,37.4179796,-122.2025398,28597,21723,0.4447,54.50222051,3.981759955,1.07855763,0.08,-2.258146126
El Centro,32.8040134,-115.575068,42888,18229,0.4845,65.21637754,3.318220503,6.563513851,0.24,-2.170838137
El Monte,38.6038155,-121.4678366,114412,18746,0.4266,45.8640702,3.942386548,0.401475694,0.08,-1.980965059
El Segundo,33.9120651,-118.3960598,16760,45064,0.4017,81.44988067,2.484803558,0.277161863,0.2,-2.561260949
Escondido,37.7349251,-122.4904002,145859,24553,0.4587,81.66174182,3.284298935,3.21262528,0.2,-1.86877242
Eureka,37.758956,-122.438341,27037,20090,0.4297,81.85079706,2.435765766,1.178299648,0.04,-1.912573867
Exeter,38.554058,-121.42819,10381,20416,0.4718,87.36152586,3.140048397,11.17448794,0.36,-1.980956178
Fairfield,38.2377568,-122.0414869,106533,28871,0.411,47.45571795,3.122395146,1.527768671,0.2,-2.014398989
Fillmore,37.7850955,-122.4308097,15076,23557,0.4128,69.5741576,3.625781626,7.925937957,0.28,-1.940133304
Folsom,37.7904501,-122.3905084,72424,44066,0.3726,71.04965205,2.934046346,0.134207241,0.32,-1.995910059
Fortuna,37.7814388,-122.442984,11851,21831,0.4619,82.15340478,2.846745136,2.413308341,0.24,-1.918919483
Fountain Valley,33.7084119,-117.9506182,55911,32494,0.4071,54.57065694,2.992613606,0.221979758,0.2,-2.515664207
Fresno,36.8354582,-119.7948221,500819,20422,0.477,53.12857539,3.146579293,5.236668104,0.28,-2.588506482
Fullerton,33.8378838,-117.9093918,136702,27202,0.457,55.05917982,3.093785362,0.308665912,0.28,-2.461598955
Galt,32.8380151,-117.2024724,23997,25935,0.3768,70.18377297,3.144261006,5.826558266,0.32,-2.222511536
Garden Grove,33.7455063,-117.959922,172785,22747,0.4229,43.84350493,3.763395191,0.286630456,0.2,-2.485979127
Gilroy,37.7158413,-122.3892214,49767,27200,0.4322,68.50925312,3.42417779,6.642752757,0.24,-1.993340882
Glendale,34.15013,-118.260367,193381,22633,0.4877,75.08183327,2.733145829,0.125975474,0.2,-2.360776212
Glendora,34.1344084,-117.8791047,50500,31964,0.4174,77.85148515,3.055236251,0.484631505,0.36,-2.43009792
Goleta,34.4451275,-119.7993478,30074,33955,0.3997,69.74795504,2.848995832,1.051379936,0.12,-2.291068584
Grover Beach,35.0925212,-120.5822413,13253,26108,0.423,81.59661963,2.538402605,2.281667978,0.08,-2.647126625
Hanford,36.3284841,-119.6456951,54195,25433,0.4216,76.78199096,3.158032749,7.313675412,0.28,-2.451460326
Hawthorne,33.9654801,-118.3002512,85092,24829,0.4305,46.1958821,2.973269506,0.205771771,0.16,-2.447432425
Hayward,37.6557643,-122.0566238,147163,27609,0.421,37.98780944,3.257404046,0.507719407,0.08,-2.02317171
Healdsburg,38.6120052,-122.8736501,11356,29971,0.4595,73.70553012,2.569230769,6.486170627,0.24,-1.547197519
Hemet,33.7392539,-117.0501488,79986,19528,0.4407,71.97009477,2.617342932,1.498268019,0.32,-2.059120099
Hollister,37.7806599,-122.2900159,35558,25852,0.3904,81.62438832,3.461643302,5.624231441,0.2,-2.095193824
Huntington Beach,33.6264925,-117.9479769,193197,38709,0.4467,77.75741859,2.605278062,0.473875816,0.2,-2.549914043
Huntington Park,37.792033,-122.4122163,58473,16742,0.4017,72.47276521,4.04517468,0.892410342,0.08,-1.972178653
Imperial,37.7999474,-122.4268221,15205,29911,0.3633,80.42091417,3.337357331,2.992151733,0.24,-1.962934437
Indio,33.7342277,-116.3174647,80167,22191,0.4379,57.00101039,3.28944237,2.27651127,0.32,-2.157750553
Inglewood,33.9121275,-118.3960602,110585,22857,0.4463,27.7352263,3.032966732,0.575512269,0.12,-2.561180454
Irvine Ranch,33.6678819,-117.7664369,221266,45754,0.4498,52.21091356,2.729724395,0.298779142,0.16,-2.569910931
Kerman,36.7199008,-120.0965719,13856,20566,0.4078,64.37644342,4.039650146,17.89732771,0.32,-2.707599779
Kingsburg,36.5140245,-119.5539,11507,23306,0.4425,72.30381507,3.063631523,10.13824885,0.36,-2.600438042
La Palma,33.0322815,-117.1858703,15697,37627,0.4134,44.42250111,3.115720524,0.226950355,0.2,-2.362673025
La Verne,34.0323448,-118.1588802,31336,32452,0.4301,75.32231299,2.910915002,0.553623394,0.32,-2.423394292
Lakeside,38.2611957,-120.3176838,20806,29965,0.407,91.05065846,2.959601707,0.617931678,0.2,-2.369646108
Lakewood,33.789842,-118.1947262,80511,33535,0.3565,54.68321099,3.050005682,0.385534737,0.2,-2.486778171
Lathrop,37.7103474,-122.3981486,18630,23857,0.3474,50.91250671,4.204468517,1.730049875,0.2,-1.993166457
Lemoore,37.7874848,-122.295318,24616,26723,0.4377,70.01949951,3.049554014,6.144437973,0.32,-2.084050942
Lincoln,37.7661463,-122.4602632,43467,33535,0.374,83.92803736,2.618493976,0.347567031,0.32,-1.886002931
Linda,33.8931515,-117.7546316,18442,17436,0.4028,61.47380978,3.194526243,8.211473566,0.32,-2.363619585
Livingston,37.386883,-120.723533,13301,18447,0.3532,43.14713179,4.47694379,19.09638554,0.32,-2.353052961
Lomita,34.1317986,-117.3662913,20398,29208,0.4507,62.58456711,2.561919116,0.81795701,0.2,-2.153351644
Lompoc,34.6390421,-120.4572755,42691,23165,0.4324,66.11229533,3.216379116,7.768079801,0.12,-2.368207331
Long Beach,33.7726243,-118.1641161,465424,25497,0.4756,52.77531885,2.840323929,0.481786684,0.16,-2.448243903
Los Banos,37.060924,-120.847906,36219,19803,0.4369,79.05795301,3.567671395,6.673926571,0.28,-2.418834899
Lynwood,32.9993701,-117.2684923,70257,17341,0.4083,36.41914685,4.589261219,0.572308178,0.16,-2.366736925
Madera,37.7558533,-122.3988025,61899,18698,0.4092,81.02231054,3.824703411,29.64642684,0.28,-1.971642387
Madera,36.962843,-120.0694196,61899,18698,0.4092,81.02231054,3.824703411,29.64642684,0.36,-2.59614637
Manhattan Beach,33.8808173,-118.396067,35324,67668,0.4906,82.753935,2.512375533,0.139703828,0.2,-2.606302005
Manteca,37.7915149,-121.2031281,69168,26984,0.3797,71.98270877,3.101843132,2.109415195,0.32,-2.03414222
Martinez,37.5802716,-121.9843779,36471,40226,0.3928,79.89909791,2.557932389,0.452634982,0.2,-2.028027061
Menlo Park,37.4482866,-122.1743776,32450,54834,0.5056,74.58243451,2.598702651,0.062134957,0.16,-2.21414213
Merced,37.729482,-122.4932217,79639,18568,0.4525,58.97361845,3.251367682,7.460686835,0.36,-1.861994498
Milpitas,37.4071625,-121.9265723,67695,34266,0.3992,21.13597755,3.465318659,0.166352793,0.12,-1.983804514
Modesto,37.6236296,-121.0808664,202629,22562,0.4548,72.32429711,2.941042426,2.434595299,0.36,-2.21332704
Monrovia,34.1394896,-117.995031,36806,31757,0.4284,55.81155246,2.799787007,0.326436055,0.28,-2.357646071
Montecito,34.4391337,-119.6327402,8992,40873,0.5664,93.49421708,2.817042607,0.389338125,0.32,-2.255918378
Monterey Park,36.5969047,-121.8815953,60591,23121,0.4621,18.86583816,3.222239949,0.46537812,0.2,-2.212829272
Morgan Hill,37.130501,-121.65439,38832,38180,0.445,68.35341986,3.06754088,1.256937643,0.28,-1.980828106
Morro Bay,35.3300201,-120.8409245,10322,28758,0.417,94.51656656,2.061513881,1.252052545,0.12,-2.815716425
Mountain View,37.3793234,-122.0707842,2282,19925,0.4325,84.83786153,2.232876712,0,0.16,-2.092300394
Mountain View,37.3793234,-122.0707842,75477,50819,0.4589,60.45020337,2.355197054,0.328023599,0.16,-2.092300394
Napa,38.3077443,-122.3026035,77698,30698,0.4236,83.82969961,2.719756371,6.08970073,0.2,-1.836368649
Newport Beach,33.6163598,-117.9027701,86001,54687,0.5469,86.45364589,2.24845094,0.24348559,0.28,-2.545088949
Norco,33.9431934,-117.5280998,27079,30411,0.3915,74.33804793,3.853016505,1.775825855,0.36,-2.290856716
Norwalk,33.9157761,-118.0718412,105940,23911,0.3763,50.46818954,3.912690205,0.45570064,0.2,-2.498652354
Oakdale,37.7690532,-120.8528946,20943,26016,0.4399,90.16377787,2.901898296,4.89394478,0.32,-2.190995924
Oceanside,37.6717986,-122.4897067,169407,28139,0.427,66.6005537,2.87403298,1.696409199,0.2,-1.923634041
Ontario,34.0303845,-117.6156136,165702,22336,0.3854,58.00111043,3.660304838,1.191626409,0.24,-2.369431374
Orange,33.7854286,-117.8922253,137999,31518,0.4261,63.41205371,3.218785716,0.299633285,0.28,-2.486389707
Oxnard,34.2035685,-119.142101,199574,21218,0.4162,72.39369858,3.907545914,12.74429922,0.12,-2.496486987
Palo Alto,37.4269784,-122.1443672,65234,64167,0.5027,65.10102094,2.487094437,0.32951058,0.24,-2.20548286
Paramount,33.8849558,-118.1611433,54468,20416,0.3847,37.46787104,3.939534211,0.407239819,0.12,-2.514938889
Pasadena,34.1358357,-118.1431737,138004,32400,0.5008,63.70974754,2.504155326,0.276496375,0.28,-2.352081705
Paso Robles,35.6441264,-120.704433,30144,27815,0.4173,76.85111465,2.741859196,5.085353608,0.28,-2.607522044
Patterson,37.7423373,-122.4051935,20480,23757,0.3785,67.58300781,3.535301226,8.281764319,0.28,-1.962275405
Perris,33.843541,-117.1923342,69743,19729,0.3746,46.06340421,4.317115444,1.371015224,0.24,-1.930697012
Petaluma,38.26058,-122.6468054,58357,35604,0.4047,82.59334784,2.726580386,0.845022816,0.16,-1.578311669
Pico Rivera,34.0079856,-118.09931,63308,22809,0.3788,53.37556075,3.810291905,0.650418387,0.16,-2.423668694
Pismo Beach,35.1212837,-120.6297305,7746,34746,0.4369,92.16369739,2.029342416,3.310886644,0.24,-2.653207966
Pittsburg,38.027976,-121.884681,64588,25893,0.4395,38.61862885,3.293625701,0.333727317,0.2,-2.005574725
Pleasanton,37.6677665,-121.8609347,71488,52312,0.4178,65.95512534,2.871695991,0.103455411,0.24,-2.127730589
Pomona,34.0769084,-117.815856,150006,19963,0.4205,62.6308281,3.893529213,0.609969502,0.2,-2.491668675
Port Hueneme,34.1495572,-119.1948873,21800,25044,0.4207,70.16972477,3.009802568,4.442667885,0.08,-2.494236431
Porterville,36.0708395,-119.0164858,54534,20499,0.4432,77.01984083,3.321800573,12.97333062,0.32,-2.307621976
Poway,32.9540748,-117.0425639,48547,38851,0.4263,77.87298906,3.034377149,0.246808511,0.32,-2.196009821
Red Bluff,34.1167298,-117.4617761,14071,18078,0.4372,89.61694265,2.762811702,4.417670683,0.36,-2.180931585
Redding,40.581071,-122.3908598,90370,22194,0.4427,85.91678654,2.591997705,1.476595275,0.36,-1.90440553
Redlands,34.0677961,-117.2261733,69277,32559,0.4487,73.13249708,2.796923574,0.661297715,0.36,-1.994248305
Redwood City,37.780376,-122.4220851,78241,36877,0.4573,73.48321213,2.815741174,0.373574025,0.08,-1.946675025
Reedley,32.9655238,-117.2151151,24562,18195,0.4048,56.18842114,3.945069065,26.95324757,0.24,-2.33659312
Rialto,34.0995054,-117.3766581,100479,21105,0.3886,58.37538192,4.028021648,0.300791557,0.28,-2.126478145
"Rio Vista, city of",38.154559,-121.6923665,7451,27654,0.4241,75.39927527,2.062846069,4.777594728,0.36,-2.249706454
Ripon,37.7425865,-121.1196613,14467,39386,0.4126,87.24683763,2.938058489,2.096370463,0.36,-2.12453567
Riverbank,38.5962843,-121.5444186,22977,23445,0.3837,79.99303651,3.465088222,3.921568627,0.32,-1.95673677
Riverside,33.9938466,-117.3985893,309150,23525,0.4412,66.97169659,3.419498274,0.490023129,0.28,-2.14917764
Rohnert Park,38.3498105,-122.7080027,41039,26492,0.4051,76.59543361,2.599379275,0.999223904,0.16,-1.718611262
Roseville,38.7022519,-121.330231,122039,35811,0.4096,79.58193692,2.70350679,0.095624303,0.28,-1.993084197
Sacramento,37.794325,-122.3970721,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,0.28,-1.993237047
